id|city|osex|cyear|quality|year|buyer.fname|buyer.lname|buyer.ethnicity|buyer.gender|buyer.age|buyer.nationality|house.type|size|n.rooms|n.bathrooms|price
PT-823|Lisboa|Male|1960|Perfect|2023|Tyler|Borovskikh|5|0|51||Apartamento|213.86|1|1|265
PT-252|||2003||2017|Sheldon|Cackler|1|0|32|UK||137.66|1|2|276
PT-528|Faro|Male|1920|High|2021|Breanna|Ortiz Munoz|4|1|39|Portugl|Apartamento|349.18|1|4|205
PT-1312|Lisboa||1950||2018|Katherine|Bernhardt|5|1|34|ENGLAND|Quinta|273.36|1|3|251
PT-25|Coimbra||1960|Medium|2020|Jose|Sanchez|4|0|40|ENGLAND|Quinta|245.31|1|2|274
PT-340|||2017||2017|Malachai|Cheng|2|0|71||Apartamento|320.06|1|3|245
PT-94|Lisboa||2014|Perfect|2020|Veronica|Chu|2|1|45|PT|Apartamento|139.88|1|4|297
PT-1211|Porto||1975|Medium|2016|Eric|Goto|2|0|41|Portugal|Vivenda|174.07|1|1|236
PT-1152|Portimão|Female|1998|High|2016|Sindel|Burukie|3|1|16|Prt|Apartamento|342.91|1|2|262
PT-1039|Lisboa|Male||Very High|2018|Diocelin|Carbajal|4|1|76|United States of America|Apartamento|236.31|1|3|282
PT-1272|Lisboa|Male||Perfect|2019|Alec|Vineyard|5|0|55|Portugl|Vivenda|236.21|1|3|254
PT-1110|Porto|Female||High|2021|Passion|Chaffin|3|1|38|USA|Apartamento|316.28|1|2|276
PT-1285|LISBOA||2008||2021|Kwhydee Paul|Holland|3|0|37|England|Vivenda|193.68|1|4|228
PT-371||Male|2015|Medium|2018|Jordan|Mcgee|3|0|23|United States of America||191.06|1|1|226
PT-1066|Lisboa||1975|Perfect|2020|Jordan|Ware|3|1|24|Portugal|Vivenda|228.12|1|1|251
PT-1331|Lisboa|Male|2002|High|2017|Danny|Mancha|4|0|54|Prt|Vivenda|220.63|1|3|272
PT-880|Coimbra|Female|1995|Very High|2017|Sarah|Munoz|1|1|70|||156.81|1|3|253
PT-1059|Lx||1996|Low|2018|Renae|Sands|2|1|46|PT|Vivenda|329.84|1|4|220
PT-854|Lisboa||2004||2022|Jesse|Todd|1|1|78|ENGLAND|Apartamento|196.54|1|3|243
PT-1098|Lagos|Male|1999|High|2018|Lucas|Kinnison|5|0|51||Vivenda|169.39|1|30|250
